"","p-value","Adjusted p-value","Significant (in gene set)","Non-significant (in gene set)","Significant (not in gene set)","Non-significant (not in gene set)","sig_genest_in_geneset","prop_genes"
"REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR",1.32374267388112e-10,2.91758233778647e-09,15,27,630,13924,"CAPZB, TUBA4A, DYNC1LI1, TUBB2A, HSP90AB1, CAPZA2, DNAJA1, TUBB4B, STIP1, TUBA1B, TUBA1A, TUBA1C, ACTR10, HSP90AA1, TUBB6",0.357142857142857
"REACTOME_MAPK6_MAPK4_SIGNALING",6.75738156309269e-20,2.78200123974873e-18,30,54,615,13897,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, SEPT7, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, ETV4, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.357142857142857
"REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE",1.74990375549935e-20,8.12402126489271e-19,31,56,614,13895,"PSMA5, PSMD4, ORC4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, MCM7, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.35632183908046
"REACTOME_DISEASES_ASSOCIATED_WITH_N_GLYCOSYLATION_OF_PROTEINS",5.92624343296846e-05,0.000758242757236605,6,11,639,13940,"ALG6, RFT1, ALG3, ALG2, ALG8, ALG1",0.352941176470588
"REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS",1.00160901251591e-19,3.83422958826268e-18,30,55,615,13896,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, CDK7, CCNH, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.352941176470588
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",1.49157087030143e-05,0.000214118923618271,7,13,638,13938,"UROD, EPRS, ALAS1, BLVRA, GUSB, HMBS, HMOX2",0.35
"REACTOME_PCP_CE_PATHWAY",3.22809732958089e-18,1.11804894811833e-16,28,53,617,13898,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.345679012345679
"REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS",1.4737439380122e-25,3.57301030304736e-23,41,81,604,13870,"PSMA5, PSMD4, ARF1, PSMD14, SEC13, PSMD6, PSMD2, SLC25A4, SKP1, HLA-A, PSMB1, PSMA2, PSMC2, SLC25A5, PSMB7, CDK9, PSMD13, PSMA1, PSMC3, AAAS, NUP37, RAN, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, NUP93, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, RAE1, PSMA7, PSMD8, PSMC4, RANBP1",0.336065573770492
"REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION",5.45711873313448e-06,8.32687627671289e-05,8,16,637,13935,"TUBA4A, TUBB2A, ACTB, TUBB4B, TUBA1B, TUBA1A, TUBA1C, TUBB6",0.333333333333333
"REACTOME_INTERLEUKIN_1_SIGNALING",1.68898112318898e-19,6.35406346689371e-18,31,62,614,13889,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, HMGB1, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, NFKBIB, PSMC4",0.333333333333333
"REACTOME_CLEC7A_DECTIN_1_SIGNALING",5.15152057600494e-18,1.75634654638169e-16,29,60,616,13891,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.325842696629214
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",1.88575718023573e-18,6.63664865689415e-17,30,63,615,13888,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, NFKBIB, PSMC4",0.32258064516129
"REACTOME_TCR_SIGNALING",7.2896339106981e-18,2.40999715047625e-16,29,61,616,13890,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.322222222222222
"KEGG_PROPANOATE_METABOLISM",7.71602436147224e-06,0.00011531756956666,8,17,637,13934,"SUCLG1, PCCB, ALDH7A1, ACAT2, LDHA, ACAT1, ECHS1, SUCLA2",0.32
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3",1.02615470675454e-17,3.3418948808036e-16,29,62,616,13889,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SPP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.318681318681319
"REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS",4.2002647591177e-05,0.000565739364468816,7,16,638,13935,"TUBA4A, TUBB2A, TUBB4B, TUBA1B, TUBA1A, TUBA1C, TUBB6",0.304347826086957
"REACTOME_SIGNALING_BY_HEDGEHOG",1.35641577932989e-21,7.78868218552058e-20,38,90,607,13861,"PSMA5, PSMD4, PSMD14, TUBA4A, PSMD6, PSMD2, KIF3A, SKP1, TUBB2A, PSMB1, PSMA2, PSMC2, PSMB7, TUBB4B, PSMD13, PSMA1, PSMC3, TUBA1B, TUBA1A, TUBA1C, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, DERL2, UBB, PSMD11, PSMB3, PSMD3, PSMD12, TUBB6, PSMF1, PSMA7, PSMD8, PSMC4",0.296875
"REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION",5.70508065327239e-05,0.00073659680387221,7,17,638,13934,"EPRS, FARSB, AIMP1, HARS, RARS, AIMP2, FARSA",0.291666666666667
"REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN",5.70508065327239e-05,0.00073659680387221,7,17,638,13934,"TUBA4A, TUBB2A, TUBB4B, TUBA1B, TUBA1A, TUBA1C, TUBB6",0.291666666666667
"KEGG_PYRUVATE_METABOLISM",5.10720655195474e-06,7.84783429321495e-05,9,22,636,13929,"MDH1, PDHB, ALDH7A1, ACAT2, MDH2, PDHA1, LDHA, ACAT1, PKM",0.290322580645161
"REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION",5.10720655195474e-06,7.84783429321495e-05,9,22,636,13929,"ARF1, HNRNPDL, TCP1, HNRNPA2B1, TALDO1, GSTO1, PSME2, ANXA2, SNRPA1",0.290322580645161
"REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING",5.87460728787712e-18,1.97206047725352e-16,32,79,613,13872,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, CASP1, HMGB1, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, NFKBIB, PSMC4",0.288288288288288
"REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS",8.93713656070194e-20,3.48229142418779e-18,36,91,609,13860,"PSMA5, PSMD4, PSMD14, SEC13, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, DERL1, PSMB7, PSMD13, PSMA1, PSMC3, SLC3A2, AAAS, NUP37, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, NUP93, PSMB6, DERL2, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, RAE1, PSMA7, PSMD8, PSMC4",0.283464566929134
"REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL",4.96370438924536e-10,1.07235673042905e-08,17,43,628,13908,"WDR43, PNO1, MPHOSPH10, NOP58, RRP9, DIMT1, WDR46, BUD23, DKC1, DCAF13, RCL1, EMG1, NOC4L, TBL3, UTP4, UTP18, NOL11",0.283333333333333
"REACTOME_ANTIGEN_PRESENTATION:_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC",7.62365551548772e-05,0.000945160019022398,7,18,638,13933,"SEC13, HLA-A, HLA-C, HLA-B, BCAP31, HSPA5, PDIA3",0.28
"REACTOME_METABOLISM_OF_COFACTORS",0.000879391482073535,0.00909399153499741,5,13,640,13938,"COQ2, COQ3, COQ5, COQ6, HSP90AA1",0.277777777777778
"REACTOME_PERK_REGULATES_GENE_EXPRESSION",2.61731612295931e-05,0.000366088703865206,8,21,637,13930,"EXOSC7, EXOSC9, ASNS, HSPA5, EXOSC2, EXOSC8, EIF2S1, HERPUD1",0.275862068965517
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2",2.67369807613386e-16,8.10279055850568e-15,30,79,615,13872,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, CCNB1, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.275229357798165
"REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC",8.25252639207874e-07,1.37458111355082e-05,11,29,634,13922,"CAPZB, TUBA4A, DYNC1LI1, TUBB2A, CAPZA2, TUBB4B, TUBA1B, TUBA1A, TUBA1C, ACTR10, TUBB6",0.275
"BIOCARTA_VEGF_PATHWAY",0.000295662982648521,0.00341342131290515,6,16,639,13935,"EIF2B3, EIF2B4, EIF2B1, EIF2S1, EIF2B2, ELAVL1",0.272727272727273
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE",1.46884767511604e-26,8.012564067758e-24,51,137,594,13814,"NUDC, CDC20, PSMA5, PSMD4, LMNA, VRK2, BUB1, PSMD14, TUBA4A, SEC13, DYNC1LI1, PSMD6, PSMD2, MAD2L1, CENPH, PTTG1, TUBB2A, PSMB1, PSMA2, PSMC2, PSMB7, TUBB4B, PSMD13, PSMA1, PSMC3, TUBA1B, TUBA1A, TUBA1C, NUP37, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, VRK1, PSMA4, PLK1, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, BIRC5, TUBB6, PSMF1, PSMA7, PSMD8, PSMC4, PPP2R1A, CENPM",0.271276595744681
"REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS",1.7383759688817e-15,4.86299533858958e-14,29,79,616,13872,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.268518518518519
"REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE",1.31125011411547e-07,2.30737721693545e-06,13,36,632,13915,"SDHB, FH, SUCLG1, PDHB, SDHA, MDH2, PDHA1, IDH3G, LDHA, SUCLA2, IDH3A, SLC16A3, IDH3B",0.26530612244898
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",1.40956905005808e-06,2.29528333375128e-05,11,31,634,13920,"YWHAQ, TUBA4A, NCL, TUBB2A, ACTB, TUBB4B, TUBA1B, TUBA1A, TUBA1C, KRT18, TUBB6",0.261904761904762
"REACTOME_MITOTIC_G1_G1_S_PHASES",2.19139095078456e-19,8.10443229595238e-18,38,108,607,13843,"HDAC1, PSMA5, PSMD4, ORC4, PSMD14, PSMD6, PSMD2, CCNB1, CDK7, CCNH, SKP1, PSMB1, PSMA2, MCM7, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, TK1, TYMS, PSMF1, PSMA7, PSMD8, PSMC4, PPP2R1A",0.26027397260274
"REACTOME_DNA_REPLICATION",2.0977039679876e-16,6.63360877992602e-15,32,92,613,13859,"PSMA5, PSMD4, ORC4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, RFC2, MCM7, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.258064516129032
"REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",6.41369216011135e-15,1.70666784065402e-13,29,84,616,13867,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.256637168141593
"KEGG_BUTANOATE_METABOLISM",0.000494569944125868,0.00547792699534337,6,18,639,13933,"PDHB, ALDH7A1, ACAT2, PDHA1, ACAT1, ECHS1",0.25
"REACTOME_GLUCONEOGENESIS",0.000494569944125868,0.00547792699534337,6,18,639,13933,"ENO1, MDH1, MDH2, PGK1, GOT1, TPI1",0.25
"REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",0.000494569944125868,0.00547792699534337,6,18,639,13933,"EXOSC7, EXOSC9, ASNS, EXOSC2, EXOSC8, HERPUD1",0.25
"REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION",0.000494569944125868,0.00547792699534337,6,18,639,13933,"CCNB1, CDK7, CCNH, CCNB2, PLK1, PPP2R1A",0.25
"REACTOME_MITOTIC_G2_G2_M_PHASES",4.09965297882258e-22,2.55584079994025e-20,46,141,599,13810,"PSMA5, PSMD4, NME7, PSMD14, TUBA4A, PSMD6, PSMD2, CCNB1, CDK7, CCNH, SKP1, TUBB2A, HSP90AB1, PSMB1, PSMA2, PSMC2, PSMB7, TUBB4B, PSMD13, PSMA1, PSMC3, TUBA1B, TUBA1A, TUBA1C, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, HSP90AA1, CCNB2, PSMA4, PLK1, PSMB6, UBB, PSMD11, PSMB3, PSMD3, TUBG1, PSMD12, TUBB6, PSMF1, PSMA7, PSMD8, PSMC4, PPP2R1A",0.245989304812834
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",2.48434353702469e-05,0.000352002441414797,9,28,636,13923,"ENO1, PDHB, ADH5, ALDH7A1, PDHA1, PGK1, LDHA, TPI1, PKM",0.243243243243243
"REACTOME_G2_M_CHECKPOINTS",3.60219170325216e-16,1.07670990362962e-14,34,109,611,13842,"PSMA5, PSMD4, YWHAQ, ORC4, PSMD14, PSMD6, PSMD2, CCNB1, PSMB1, PSMA2, RFC2, MCM7, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, CCNB2, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.237762237762238
"REACTOME_INTERLEUKIN_12_SIGNALING",3.12899397620441e-05,0.000429400305413712,9,29,636,13922,"ARF1, HNRNPDL, TCP1, HNRNPA2B1, TALDO1, GSTO1, PSME2, ANXA2, SNRPA1",0.236842105263158
"REACTOME_PTEN_REGULATION",8.53082713385015e-15,2.18991350659542e-13,31,100,614,13851,"HDAC1, PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, RBBP7, RRAGA, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.236641221374046
"REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING",2.50962558357522e-13,6.01758573995729e-12,28,92,617,13859,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.233333333333333
"REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING",0.000266296044294537,0.00310726186444213,7,23,638,13928,"CCT4, CCT7, CCT5, TCP1, CCT6A, CCT2, CCT8",0.233333333333333
"REACTOME_HIV_INFECTION",1.41950559575003e-22,9.99148777395663e-21,50,167,595,13784,"GTF2B, PSMA5, PSMD4, ARF1, PSMD14, XRCC5, SEC13, PSMD6, PSMD2, SLC25A4, CDK7, CCNH, SKP1, HLA-A, PSMB1, PSMA2, PSMC2, SLC25A5, PSMB7, CDK9, PSMD13, PSMA1, TSG101, PSMC3, POLR2G, AAAS, NUP37, RAN, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, NUP93, POLR2C, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, RAE1, NELFCD, PSMA7, PSMD8, PSMC4, RANBP1, XRCC6",0.230414746543779
"REACTOME_PROTEIN_FOLDING",8.89279311295118e-09,1.78019032774858e-07,18,62,627,13889,"CCT4, CCT7, TUBA4A, CCT5, TUBB2A, TBCC, TCP1, ACTB, CCT6A, VBP1, TUBB4B, TUBA1B, TUBA1A, TUBA1C, CCT2, WRAP53, TUBB6, CCT8",0.225
"REACTOME_KINESINS",4.84935900796778e-05,0.000649159592354951,9,31,636,13920,"TUBA4A, KIF3A, KIF20A, TUBB2A, TUBB4B, TUBA1B, TUBA1A, TUBA1C, TUBB6",0.225
"REACTOME_INTRAFLAGELLAR_TRANSPORT",7.23600121407546e-06,0.000108889342407673,11,38,634,13913,"DYNC2LI1, TUBA4A, KIF3A, TUBB2A, WDR34, TUBB4B, TUBA1B, TUBA1A, TUBA1C, CLUAP1, TUBB6",0.224489795918367
"REACTOME_PROGRAMMED_CELL_DEATH",2.59437863824445e-15,7.07616773581174e-14,34,118,611,13833,"PSMA5, PSMD4, LMNA, YWHAQ, PSMD14, PSMD6, PSMD2, CASP6, PSMB1, PSMA2, PSMC2, BCAP31, PSMB7, PSMD13, PSMA1, PSMC3, HMGB1, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, DAPK3, PSMD8, PSMC4",0.223684210526316
"REACTOME_RECYCLING_PATHWAY_OF_L1",0.000140325002927848,0.00172016379993575,8,28,637,13923,"TUBA4A, TUBB2A, ACTB, TUBB4B, TUBA1B, TUBA1A, TUBA1C, TUBB6",0.222222222222222
"REACTOME_S_PHASE",7.26389082760405e-15,1.90961563684723e-13,34,123,611,13828,"PSMA5, PSMD4, ORC4, PSMD14, PSMD6, PSMD2, CDK7, CCNH, SKP1, PSMB1, PSMA2, RFC2, MCM7, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.21656050955414
"REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS",0.000172181987081669,0.00208722831006778,8,29,637,13922,"CCT4, CCT7, CCT5, TCP1, CCT6A, CCT2, WRAP53, CCT8",0.216216216216216
"REACTOME_TRNA_AMINOACYLATION",7.30672187962047e-05,0.000911043836647535,9,33,636,13918,"EPRS, FARSB, PPA2, AIMP1, HARS, RARS, AIMP2, YARS2, FARSA",0.214285714285714
"REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT",2.01733777465407e-08,3.79468191749585e-07,18,66,627,13885,"CAPZB, CD55, ARF1, TUBA4A, DYNC1LI1, COPB2, TMED9, TUBB2A, CAPZA2, TUBB4B, COPB1, TUBA1B, TUBA1A, TUBA1C, ACTR10, TUBB6, NAPA, KDELR3",0.214285714285714
"REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES",2.43133079027684e-15,6.71539719542287e-14,36,134,609,13817,"CDC20, PSMA5, PSMD4, PSMD14, PSMD6, RUVBL1, PSMD2, PSMB1, PSMA2, PSMC2, VDAC3, PSMB7, PSMD13, PSMA1, PSMC3, OTUB1, RCE1, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PTRH2, PSMD12, PSMF1, PSMA7, ADRM1, PSMD8, PSMC4, UFD1",0.211764705882353
"REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN",1.32955517118551e-05,0.000192125124736872,11,41,634,13910,"LMNA, VRK2, SEC13, CCNB1, AAAS, NUP37, VRK1, CCNB2, PLK1, NUP93, RAE1",0.211538461538462
"REACTOME_FORMATION_OF_TC_NER_PRE_INCISION_COMPLEX",1.32955517118551e-05,0.000192125124736872,11,41,634,13910,"PPIE, COPS4, CDK7, CCNH, COPS6, COPS5, POLR2G, POLR2C, UBB, ZNF830, GPS1",0.211538461538462
"REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER",0.000209753199700235,0.00250099170352958,8,30,637,13921,"RUVBL1, ACTL6A, COPS4, ACTB, COPS6, COPS5, UBB, GPS1",0.210526315789474
"PID_MYC_ACTIV_PATHWAY",7.8714225444812e-07,1.32118799938908e-05,15,60,630,13891,"ENO1, HSPD1, NCL, RUVBL1, ACTL6A, EIF4E, CCNB1, LDHA, PRDX3, EIF2S1, HSP90AA1, EIF4A1, TK1, BIRC5, RUVBL2",0.2
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1",1.24067481448436e-13,3.00794716133875e-12,34,138,611,13813,"HDAC1, PSMA5, PSMD4, PSMD14, PSMD6, ACTL6A, PSMD2, CDK7, CCNH, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4, PRMT1, SMARCB1",0.197674418604651
"REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT",2.89178994562623e-13,6.8585713710396e-12,33,134,612,13817,"HDAC1, PSMA5, PSMD4, PSMD14, PSMD6, RUVBL1, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, DKK1, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, LEO1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4, PPP2R1A",0.197604790419162
"REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT",1.19264046437564e-05,0.000174653791494472,12,49,633,13902,"MTX1, HSPD1, BCS1L, GRPEL1, COQ2, SLC25A4, IDH3G, PMPCA, TIMM23, ATP5F1B, TOMM40, SAMM50",0.19672131147541
"REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING",0.000154168585897543,0.00187930644932089,9,37,636,13914,"ARF1, HNRNPDL, TCP1, HNRNPA2B1, TALDO1, GSTO1, PSME2, ANXA2, SNRPA1",0.195652173913043
"REACTOME_NUCLEAR_PORE_COMPLEX_NPC_DISASSEMBLY",0.000867343324682758,0.00901211016408466,7,29,638,13922,"SEC13, CCNB1, AAAS, NUP37, CCNB2, NUP93, RAE1",0.194444444444444
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",2.65165768348893e-12,6.09043901618195e-11,31,129,614,13822,"MAGOH, PSMA5, RBM8A, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, EIF4A3, PSMF1, PSMA7, PSMD8, PSMC4",0.19375
"REACTOME_RRNA_PROCESSING",1.4100090779406e-14,3.56735840399803e-13,38,161,607,13790,"EBNA1BP2, WDR43, C1D, PNO1, MPHOSPH10, NOP58, NCL, EXOSC7, RRP9, GNL3, TRMT10C, EXOSC9, DIMT1, RIOK2, RPP40, WDR46, BYSL, LTV1, BUD23, LAS1L, DKC1, DCAF13, BOP1, RCL1, EXOSC2, EMG1, NOC4L, EXOSC8, TBL3, UTP4, NIP7, MRM3, TSR1, ELAC2, UTP18, NOL11, WDR18, RRP1",0.190954773869347
"REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC",1.57972489513791e-06,2.55330349717846e-05,15,64,630,13887,"ARF1, TUBA4A, COPB2, KIF3A, KIF20A, TMED9, TUBB2A, TUBB4B, COPB1, TUBA1B, TUBA1A, TUBA1C, TUBB6, NAPA, KDELR3",0.189873417721519
"REACTOME_NEDDYLATION",8.4612521855445e-15,2.18991350659542e-13,39,167,606,13784,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, COPS4, COMMD10, SKP1, PSMB1, PSMA2, COPS6, PSMC2, RBBP7, COPS5, DCAF13, PSMB7, PSMD13, PSMA1, PSMC3, DCUN1D5, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, NAE1, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, BIRC5, GPS1, PSMF1, PSMA7, PSMD8, PSMC4",0.189320388349515
