"","id","gene_short_name","NA.","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value","significant_deg","hvg"
"11422","ENSG00000168291","PDHB","Gene Expression","OK","shape_score",-0.092136,0.005582,-16.5059,3.46e-59,-0.131902187879691,"count",4.917698e-55,TRUE,TRUE
"11462","ENSG00000163636","PSMD6","Gene Expression","OK","shape_score",-0.1358027,0.0071382,-19.0247,3.38e-77,-0.193603604472484,"count",4.843202e-73,TRUE,TRUE
"11466","ENSG00000163637","PRICKLE2","Gene Expression","OK","shape_score",0.1044949,0.0208238,5.0181,5.46e-07,0.129806029995317,"count",0.006630624,TRUE,FALSE
"11678","ENSG00000114021","NIT2","Gene Expression","OK","shape_score",-0.0823275,0.0058691,-14.0273,1.24e-43,-0.117729307476622,"count",1.745672e-39,TRUE,TRUE
"11702","ENSG00000174173","TRMT10C","Gene Expression","OK","shape_score",-0.088293,0.0103173,-8.5578,1.64e-17,-0.124081075518598,"count",2.205144e-13,TRUE,TRUE
"11758","ENSG00000196776","CD47","Gene Expression","OK","shape_score",-0.0880036,0.0055143,-15.9591,1.44e-55,-0.126027879877552,"count",2.043792e-51,TRUE,TRUE
"11958","ENSG00000144840","RABL3","Gene Expression","OK","shape_score",-0.0753115,0.0141253,-5.3317,1.03e-07,-0.103432821894205,"count",0.001269887,TRUE,FALSE
"12046","ENSG00000175455","CCDC14","Gene Expression","OK","shape_score",0.0726689,0.0094114,7.7214,1.46e-14,0.10201641775936,"count",1.93304e-10,TRUE,TRUE
"12054","ENSG00000114491","UMPS","Gene Expression","OK","shape_score",-0.0928418,0.0125631,-7.39,1.79e-13,-0.128834217727065,"count",2.350986e-09,TRUE,TRUE
"12062","ENSG00000173706","HEG1","Gene Expression","OK","shape_score",0.0908279,0.0089709,10.1248,8.5e-24,0.127473568815031,"count",1.162545e-19,TRUE,FALSE
"12074","ENSG00000114520","SNX4","Gene Expression","OK","shape_score",-0.074543,0.0147779,-5.0442,4.76e-07,-0.101652968857099,"count",0.00578816,TRUE,FALSE
"12134","ENSG00000175792","RUVBL1","Gene Expression","OK","shape_score",-0.1300113,0.0077757,-16.7203,1.23e-60,-0.184929247287065,"count",1.749183e-56,TRUE,TRUE
"12246","ENSG00000114686","MRPL3","Gene Expression","OK","shape_score",-0.0904779,0.0052682,-17.1743,9.34e-64,-0.129645884287823,"count",1.3298292e-59,TRUE,TRUE
"12278","ENSG00000144867","SRPRB","Gene Expression","OK","shape_score",-0.0827531,0.0094062,-8.7977,2.07e-18,-0.116688303565374,"count",2.790981e-14,TRUE,TRUE
"12306","ENSG00000114054","PCCB","Gene Expression","OK","shape_score",-0.0981142,0.0131099,-7.484,8.89e-14,-0.135685728299731,"count",1.1705463e-09,TRUE,TRUE
"12370","ENSG00000175110","MRPS22","Gene Expression","OK","shape_score",-0.0915109,0.0085471,-10.7067,2.22e-26,-0.129588987185609,"count",3.053166e-22,TRUE,TRUE
"12374","ENSG00000184432","COPB2","Gene Expression","OK","shape_score",-0.0722601,0.0079578,-9.0804,1.69e-19,-0.10259393957132,"count",2.286232e-15,TRUE,TRUE
"12390","ENSG00000158258","CLSTN2","Gene Expression","OK","shape_score",0.1068265,0.0153381,6.9648,3.85e-12,0.141035804645236,"count",5.00346e-08,TRUE,FALSE
"12414","ENSG00000069849","ATP1B3","Gene Expression","OK","shape_score",-0.0759666,0.0043113,-17.6202,6.86e-67,-0.109110249638501,"count",9.783732e-63,TRUE,TRUE
"12510","ENSG00000169908","TM4SF1","Gene Expression","OK","shape_score",-0.0807161,0.0035312,-22.8581,1.53e-108,-0.116268565811586,"count",2.209014e-104,TRUE,TRUE
"12634","ENSG00000163661","PTX3","Gene Expression","OK","shape_score",-0.104724,0.0096035,-10.9047,2.73e-27,-0.149547397701477,"count",3.761121e-23,TRUE,TRUE
"12846","ENSG00000172667","ZMAT3","Gene Expression","OK","shape_score",0.0840626,0.0061507,13.6672,1.47e-41,0.119838553000458,"count",2.066967e-37,TRUE,TRUE
"12870","ENSG00000136518","ACTL6A","Gene Expression","OK","shape_score",-0.1140685,0.010174,-11.2118,9.91e-29,-0.160389489382978,"count",1.368571e-24,TRUE,TRUE
"12874","ENSG00000136522","MRPL47","Gene Expression","OK","shape_score",-0.0775317,0.0048173,-16.0944,1.88e-56,-0.111205024395178,"count",2.669788e-52,TRUE,TRUE
"12958","ENSG00000161204","ABCF3","Gene Expression","OK","shape_score",-0.0883519,0.0135596,-6.5158,8.16e-11,-0.121956152925403,"count",1.0488864e-06,TRUE,FALSE
"12962","ENSG00000214160","ALG3","Gene Expression","OK","shape_score",-0.0844655,0.0061807,-13.6659,1.49e-41,-0.120637451594259,"count",2.09494e-37,TRUE,TRUE
"12974","ENSG00000175166","PSMD2","Gene Expression","OK","shape_score",-0.0960594,0.0034562,-27.7933,4.37e-155,-0.138283815441435,"count",6.341744e-151,TRUE,TRUE
"12994","ENSG00000177383","MAGEF1","Gene Expression","OK","shape_score",-0.0804867,0.0081509,-9.8746,9.97e-23,-0.114287939449328,"count",1.3604065e-18,TRUE,TRUE
"13042","ENSG00000090520","DNAJB11","Gene Expression","OK","shape_score",-0.0758094,0.0087257,-8.688,5.37e-18,-0.10729894782586,"count",7.232853e-14,TRUE,TRUE
"13482","ENSG00000163956","LRPAP1","Gene Expression","OK","shape_score",-0.0911367,0.0044839,-20.3252,2.55e-87,-0.130863968149143,"count",3.664605e-83,TRUE,TRUE
"13526","ENSG00000251580","LINC02482","Gene Expression","OK","shape_score",0.0776035,0.012084,6.422,1.51e-10,0.106611593000439,"count",1.934461e-06,TRUE,FALSE
"13558","ENSG00000109519","GRPEL1","Gene Expression","OK","shape_score",-0.1191959,0.0074344,-16.0331,4.74e-56,-0.169804165051679,"count",6.729378e-52,TRUE,TRUE
"13638","ENSG00000002549","LAP3","Gene Expression","OK","shape_score",-0.0800799,0.0116977,-6.8458,8.82e-12,-0.111698186940617,"count",1.1428956e-07,TRUE,TRUE
"13798","ENSG00000109814","UGDH","Gene Expression","OK","shape_score",-0.075167,0.0072887,-10.3129,1.29e-24,-0.107009189954548,"count",1.767558e-20,TRUE,TRUE
"14214","ENSG00000169288","MRPL1","Gene Expression","OK","shape_score",-0.082385,0.0093569,-8.8047,1.95e-18,-0.116265243267048,"count",2.629575e-14,TRUE,TRUE
"14274","ENSG00000152795","HNRNPDL","Gene Expression","OK","shape_score",-0.0804915,0.0037727,-21.3351,1.51e-95,-0.115804795393916,"count",2.174702e-91,TRUE,TRUE
"14306","ENSG00000138663","COPS4","Gene Expression","OK","shape_score",-0.102277,0.0084107,-12.1604,2.06e-33,-0.145015786405713,"count",2.870198e-29,TRUE,TRUE
"14310","ENSG00000173085","COQ2","Gene Expression","OK","shape_score",-0.1068523,0.0126628,-8.4383,4.5e-17,-0.148481190925,"count",6.0408e-13,TRUE,TRUE
"14378","ENSG00000118785","SPP1","Gene Expression","OK","shape_score",-0.0823349,0.0066323,-12.4143,1e-34,-0.1179114905419,"count",1.3961e-30,TRUE,TRUE
"14462","ENSG00000151247","EIF4E","Gene Expression","OK","shape_score",-0.0824052,0.0056895,-14.4838,2.49e-46,-0.117957706531244,"count",3.515133e-42,TRUE,TRUE
"14474","ENSG00000197894","ADH5","Gene Expression","OK","shape_score",-0.1070043,0.0054786,-19.5315,4.45e-81,-0.153317266947187,"count",6.385305e-77,TRUE,TRUE
"14574","ENSG00000138777","PPA2","Gene Expression","OK","shape_score",-0.0880965,0.0048451,-18.1828,6.12e-71,-0.126345550491594,"count",8.747928e-67,TRUE,TRUE
"14590","ENSG00000164022","AIMP1","Gene Expression","OK","shape_score",-0.0762034,0.0065562,-11.6231,1.02e-30,-0.108782024602719,"count",1.414332e-26,TRUE,TRUE
"14598","ENSG00000138801","PAPSS1","Gene Expression","OK","shape_score",-0.0828944,0.0099002,-8.373,7.77e-17,-0.116673489102573,"count",1.0414908e-12,TRUE,TRUE
"14642","ENSG00000138794","CASP6","Gene Expression","OK","shape_score",-0.092937,0.0114308,-8.1304,5.71e-16,-0.129842055318189,"count",7.62856e-12,TRUE,TRUE
"14754","ENSG00000164109","MAD2L1","Gene Expression","OK","shape_score",-0.096957,0.0078825,-12.3003,3.92e-34,-0.137135124713164,"count",5.467224e-30,TRUE,TRUE
"14766","ENSG00000164111","ANXA5","Gene Expression","OK","shape_score",-0.1026326,0.0029006,-35.3826,1.17e-237,-0.147833440472813,"count",1.704573e-233,TRUE,TRUE
"14770","ENSG00000123737","EXOSC9","Gene Expression","OK","shape_score",-0.0763934,0.0123188,-6.2014,6.19e-10,-0.106136570756656,"count",7.875537e-06,TRUE,TRUE
"15118","ENSG00000171566","PLRG1","Gene Expression","OK","shape_score",-0.0798767,0.0096971,-8.2372,2.39e-16,-0.112616101448162,"count",3.199015e-12,TRUE,TRUE
"15162","ENSG00000171497","PPID","Gene Expression","OK","shape_score",-0.0823222,0.0118863,-6.9258,5.06e-12,-0.114807142524092,"count",6.57041e-08,TRUE,TRUE
"15166","ENSG00000052795","FNIP2","Gene Expression","OK","shape_score",0.080425,0.0109168,7.3671,2.12e-13,0.111646632844141,"count",2.783772e-09,TRUE,FALSE
"15174","ENSG00000145414","NAF1","Gene Expression","OK","shape_score",-0.0828475,0.0159523,-5.1935,2.17e-07,-0.112522755049906,"count",0.002659552,TRUE,FALSE
"15250","ENSG00000056050","HPF1","Gene Expression","OK","shape_score",-0.0899165,0.0075446,-11.918,3.49e-32,-0.127976871116609,"count",4.850053e-28,TRUE,TRUE
"15414","ENSG00000151729","SLC25A4","Gene Expression","OK","shape_score",-0.0750682,0.0042401,-17.7042,1.73e-67,-0.10784450231532,"count",2.468018e-63,TRUE,TRUE
"15470","ENSG00000109536","FRG1","Gene Expression","OK","shape_score",-0.0842134,0.0096379,-8.7378,3.49e-18,-0.118739924366966,"count",4.702426e-14,TRUE,TRUE
"15482","ENSG00000073578","SDHA","Gene Expression","OK","shape_score",-0.1120122,0.0080646,-13.8893,7.83e-43,-0.159180503844898,"count",1.1016027e-38,TRUE,TRUE
"15518","ENSG00000071539","TRIP13","Gene Expression","OK","shape_score",-0.0765895,0.0118011,-6.49,9.68e-11,-0.105585658315654,"count",1.2428152e-06,TRUE,TRUE
"15590","ENSG00000150753","CCT5","Gene Expression","OK","shape_score",-0.1347384,0.0053749,-25.068,1.39e-128,-0.193276519737021,"count",2.011608e-124,TRUE,TRUE
"15650","ENSG00000173545","ZNF622","Gene Expression","OK","shape_score",-0.0856592,0.0092551,-9.2553,3.46e-20,-0.121099436119778,"count",4.689338e-16,TRUE,TRUE
"15762","ENSG00000113460","BRIX1","Gene Expression","OK","shape_score",-0.1096482,0.0089173,-12.2962,4.12e-34,-0.155267904934186,"count",5.745752e-30,TRUE,TRUE
"15894","ENSG00000112972","HMGCS1","Gene Expression","OK","shape_score",0.1105975,0.0123968,8.9214,6.98e-19,0.154980813449137,"count",9.422302e-15,TRUE,FALSE
"15922","ENSG00000112996","MRPS30","Gene Expression","OK","shape_score",-0.0929222,0.0096151,-9.6642,7.57e-22,-0.130859305715975,"count",1.0303527e-17,TRUE,TRUE
"16002","ENSG00000067113","PLPP1","Gene Expression","OK","shape_score",-0.0831172,0.0153886,-5.4012,7.02e-08,-0.113392384274727,"count",0.0008688654,TRUE,FALSE
"16078","ENSG00000086189","DIMT1","Gene Expression","OK","shape_score",-0.0821734,0.0089106,-9.222,4.69e-20,-0.116109249611556,"count",6.354481e-16,TRUE,TRUE
"16170","ENSG00000134057","CCNB1","Gene Expression","OK","shape_score",-0.1844232,0.0089948,-20.5033,9.52e-89,-0.260812646389607,"count",1.3690712e-84,TRUE,TRUE
"16174","ENSG00000153044","CENPH","Gene Expression","OK","shape_score",-0.0737586,0.009434,-7.8184,6.86e-15,-0.104123133633909,"count",9.102534e-11,TRUE,TRUE
"16182","ENSG00000134058","CDK7","Gene Expression","OK","shape_score",-0.0758157,0.011313,-6.7016,2.36e-11,-0.105793064091253,"count",3.048176e-07,TRUE,TRUE
"16282","ENSG00000157111","TMEM171","Gene Expression","OK","shape_score",-0.0810204,0.0150527,-5.3824,7.79e-08,-0.111556922763159,"count",0.0009630777,TRUE,FALSE
"16314","ENSG00000049860","HEXB","Gene Expression","OK","shape_score",-0.115746,0.005145,-22.4967,2.14e-105,-0.166024094208733,"count",3.088662e-101,TRUE,TRUE
"16394","ENSG00000145685","LHFPL2","Gene Expression","OK","shape_score",0.0976788,0.0146864,6.651,3.32e-11,0.131153490864011,"count",4.285124e-07,TRUE,FALSE
"16510","ENSG00000134480","CCNH","Gene Expression","OK","shape_score",-0.0808772,0.0058668,-13.7855,3.1e-42,-0.11564916065567,"count",4.36046e-38,TRUE,TRUE
"16642","ENSG00000058729","RIOK2","Gene Expression","OK","shape_score",-0.1100673,0.0144985,-7.5916,3.94e-14,-0.150793604305494,"count",5.20277e-10,TRUE,TRUE
"16770","ENSG00000129625","REEP5","Gene Expression","OK","shape_score",-0.0709628,0.0040105,-17.6944,2.03e-67,-0.101967166487304,"count",2.895795e-63,TRUE,TRUE
"16834","ENSG00000145781","COMMD10","Gene Expression","OK","shape_score",-0.0812899,0.0103108,-7.884,4.1e-15,-0.114253228860944,"count",5.44726e-11,TRUE,TRUE
"16870","ENSG00000205302","SNX2","Gene Expression","OK","shape_score",-0.0899661,0.0084109,-10.6964,2.47e-26,-0.127431837140186,"count",3.39625e-22,TRUE,TRUE
"16898","ENSG00000164904","ALDH7A1","Gene Expression","OK","shape_score",-0.0879451,0.0104816,-8.3904,6.72e-17,-0.123634812195129,"count",9.014208e-13,TRUE,TRUE
"16970","ENSG00000072682","P4HA2","Gene Expression","OK","shape_score",-0.0817848,0.0111139,-7.3588,2.26e-13,-0.114355204585166,"count",2.966476e-09,TRUE,TRUE
"17002","ENSG00000131437","KIF3A","Gene Expression","OK","shape_score",-0.0868967,0.0155113,-5.6022,2.27e-08,-0.118364173350722,"count",0.0002835003,TRUE,TRUE
"17050","ENSG00000113558","SKP1","Gene Expression","OK","shape_score",-0.0930166,0.002363,-39.3631,4.6e-285,-0.134061900682945,"count",6.7068e-281,TRUE,TRUE
"17102","ENSG00000113621","TXNDC15","Gene Expression","OK","shape_score",-0.071822,0.0098281,-7.3078,3.29e-13,-0.101059838835544,"count",4.31319e-09,TRUE,TRUE
"17178","ENSG00000112984","KIF20A","Gene Expression","OK","shape_score",-0.1319978,0.0132486,-9.9631,4.2e-23,-0.180424278209238,"count",5.73636e-19,TRUE,FALSE
"17218","ENSG00000120725","SIL1","Gene Expression","OK","shape_score",-0.1102855,0.0097941,-11.2604,5.82e-29,-0.155493519696881,"count",8.041494e-25,TRUE,TRUE
"17314","ENSG00000113141","IK","Gene Expression","OK","shape_score",-0.0788931,0.0065566,-12.0325,9.22e-33,-0.11260679233795,"count",1.282963e-28,TRUE,TRUE
"17326","ENSG00000170445","HARS","Gene Expression","OK","shape_score",-0.0935024,0.007055,-13.2533,3.09e-39,-0.133246799391914,"count",4.336197e-35,TRUE,TRUE
"17790","ENSG00000164611","PTTG1","Gene Expression","OK","shape_score",-0.1109139,0.0049687,-22.3226,6.8e-104,-0.159807648189518,"count",9.81104e-100,TRUE,TRUE
"17814","ENSG00000113643","RARS","Gene Expression","OK","shape_score",-0.0843901,0.0064667,-13.05,4.05e-38,-0.120466610973672,"count",5.67729e-34,TRUE,TRUE
"17918","ENSG00000051596","THOC3","Gene Expression","OK","shape_score",-0.0802689,0.0108971,-7.3661,2.14e-13,-0.112555391311983,"count",2.80982e-09,TRUE,TRUE
"17934","ENSG00000048162","NOP16","Gene Expression","OK","shape_score",-0.0824267,0.005867,-14.0493,9.23e-44,-0.11797146125607,"count",1.2997686e-39,TRUE,TRUE
"17978","ENSG00000213347","MXD3","Gene Expression","OK","shape_score",0.1197467,0.011501,10.4118,4.7e-25,0.160150253883817,"count",6.44746e-21,TRUE,FALSE
"17986","ENSG00000169223","LMAN2","Gene Expression","OK","shape_score",-0.0737102,0.0035699,-20.6475,6.54e-90,-0.105999620809539,"count",9.408444e-86,TRUE,TRUE
"18010","ENSG00000113758","DBN1","Gene Expression","OK","shape_score",-0.0765571,0.0065518,-11.6848,5.07e-31,-0.109270235708049,"count",7.032597e-27,TRUE,TRUE
"18030","ENSG00000184840","TMED9","Gene Expression","OK","shape_score",-0.0722707,0.0032184,-22.4554,4.87e-105,-0.104028054573579,"count",7.028384e-101,TRUE,TRUE
"18194","ENSG00000112699","GMDS","Gene Expression","OK","shape_score",-0.0826101,0.0126703,-6.52,7.94e-11,-0.114629316902804,"count",1.020687e-06,TRUE,FALSE
"18238","ENSG00000137267","TUBB2A","Gene Expression","OK","shape_score",-0.1098745,0.0096606,-11.3735,1.67e-29,-0.155121893960332,"count",2.309777e-25,TRUE,TRUE
"18274","ENSG00000198721","ECI2","Gene Expression","OK","shape_score",-0.0881796,0.0033051,-26.6802,4.92e-144,-0.126943765726792,"count",7.132032e-140,TRUE,TRUE
"18282","ENSG00000124787","RPP40","Gene Expression","OK","shape_score",-0.1381648,0.0144579,-9.5563,2.1e-21,-0.190210338199659,"count",2.85495e-17,TRUE,TRUE
"18370","ENSG00000111845","PAK1IP1","Gene Expression","OK","shape_score",-0.1407023,0.0113975,-12.3451,2.3e-34,-0.197155236469741,"count",3.20896e-30,TRUE,TRUE
"18434","ENSG00000225921","NOL7","Gene Expression","OK","shape_score",-0.0894843,0.0043753,-20.452,2.46e-88,-0.128498548218796,"count",3.537234e-84,TRUE,TRUE
"18462","ENSG00000047579","DTNBP1","Gene Expression","OK","shape_score",-0.081031,0.0102192,-7.9293,2.86e-15,-0.113895604800642,"count",3.803228e-11,TRUE,TRUE
"18614","ENSG00000197061","HIST1H4C","Gene Expression","OK","shape_score",0.1067802,0.0058375,18.292,9.73e-72,0.1534824077819,"count",1.3912927e-67,TRUE,TRUE
"18814","ENSG00000206503","HLA-A","Gene Expression","OK","shape_score",-0.1047441,0.0038073,-27.511,2.96e-152,-0.150805037474553,"count",4.294368e-148,TRUE,TRUE
"18958","ENSG00000204525","HLA-C","Gene Expression","OK","shape_score",-0.077598,0.0031365,-24.7406,1.58e-125,-0.111763611977135,"count",2.285786e-121,TRUE,TRUE
"18962","ENSG00000234745","HLA-B","Gene Expression","OK","shape_score",-0.0936321,0.0046184,-20.2735,6.6e-87,-0.134694347527032,"count",9.4842e-83,TRUE,TRUE
"19026","ENSG00000213719","CLIC1","Gene Expression","OK","shape_score",-0.0721837,0.002106,-34.2752,6.49e-225,-0.104064369475679,"count",9.450089e-221,TRUE,TRUE
"19198","ENSG00000227057","WDR46","Gene Expression","OK","shape_score",-0.0885302,0.0080915,-10.9411,1.85e-27,-0.125638183053224,"count",2.54967e-23,TRUE,TRUE
"19478","ENSG00000112578","BYSL","Gene Expression","OK","shape_score",-0.1005849,0.0119661,-8.4058,5.91e-17,-0.140182712182355,"count",7.930038e-13,TRUE,TRUE
"19506","ENSG00000124659","TBCC","Gene Expression","OK","shape_score",-0.0804681,0.0090824,-8.8598,1.2e-18,-0.113674278852187,"count",1.61904e-14,TRUE,TRUE
"19606","ENSG00000171453","POLR1C","Gene Expression","OK","shape_score",-0.096623,0.008801,-10.9787,1.24e-27,-0.136807715724724,"count",1.709712e-23,TRUE,TRUE
"19630","ENSG00000124688","MAD2L1BP","Gene Expression","OK","shape_score",-0.0899256,0.0116036,-7.7498,1.17e-14,-0.125460199632373,"count",1.549782e-10,TRUE,TRUE
"19662","ENSG00000096384","HSP90AB1","Gene Expression","OK","shape_score",-0.0920781,0.0035548,-25.9027,1.69e-136,-0.132573112311504,"count",2.447627e-132,TRUE,TRUE
"20118","ENSG00000123545","NDUFAF4","Gene Expression","OK","shape_score",-0.0802039,0.007384,-10.8618,4.32e-27,-0.114120437469006,"count",5.949072e-23,TRUE,TRUE
"20134","ENSG00000132423","COQ3","Gene Expression","OK","shape_score",-0.1158963,0.0155159,-7.4695,9.91e-14,-0.158187550068752,"count",1.304156e-09,TRUE,TRUE
"20318","ENSG00000197498","RPF2","Gene Expression","OK","shape_score",-0.1070003,0.0080353,-13.3162,1.38e-39,-0.151983583209046,"count",1.93683e-35,TRUE,TRUE
"20562","ENSG00000118523","CTGF","Gene Expression","OK","shape_score",-0.0784597,0.0065391,-11.9985,1.37e-32,-0.112865261649274,"count",1.905533e-28,TRUE,TRUE
"20606","ENSG00000118515","SGK1","Gene Expression","OK","shape_score",-0.0784619,0.0122325,-6.4142,1.59e-10,-0.109863735385139,"count",2.036631e-06,TRUE,TRUE
"20762","ENSG00000001036","FUCA2","Gene Expression","OK","shape_score",-0.0897756,0.0055668,-16.127,1.15e-56,-0.128581293218507,"count",1.63323e-52,TRUE,TRUE
"20770","ENSG00000135521","LTV1","Gene Expression","OK","shape_score",-0.1104246,0.0114219,-9.6678,7.31e-22,-0.154519824226123,"count",9.950372e-18,TRUE,TRUE
"20866","ENSG00000120265","PCMT1","Gene Expression","OK","shape_score",-0.1204286,0.0051562,-23.3561,6.14e-113,-0.172652467976953,"count",8.869844e-109,TRUE,TRUE
"20894","ENSG00000131015","ULBP2","Gene Expression","OK","shape_score",-0.0814847,0.015395,-5.2929,1.27e-07,-0.110958954151402,"count",0.001563624,TRUE,FALSE
"20942","ENSG00000112029","FBXO5","Gene Expression","OK","shape_score",0.0807591,0.0130225,6.2015,6.18e-10,0.106599406547636,"count",7.863432e-06,TRUE,TRUE
"21062","ENSG00000120437","ACAT2","Gene Expression","OK","shape_score",-0.1084441,0.006589,-16.4583,7.2e-59,-0.155355336605425,"count",1.023264e-54,TRUE,TRUE
"21066","ENSG00000120438","TCP1","Gene Expression","OK","shape_score",-0.0976598,0.0052661,-18.5449,1.33e-73,-0.139979924119785,"count",1.902964e-69,TRUE,TRUE
"21170","ENSG00000008018","PSMB1","Gene Expression","OK","shape_score",-0.0879784,0.0025253,-34.8385,2.27e-231,-0.126755456383243,"count",3.306482e-227,TRUE,TRUE
"21286","ENSG00000106266","SNX8","Gene Expression","OK","shape_score",-0.0771706,0.0088212,-8.7483,3.18e-18,-0.10912427792737,"count",4.285686e-14,TRUE,TRUE
"21306","ENSG00000136295","TTYH3","Gene Expression","OK","shape_score",0.0726368,0.0086658,8.382,7.21e-17,0.102161460127974,"count",9.66861e-13,TRUE,FALSE
"21310","ENSG00000146535","GNA12","Gene Expression","OK","shape_score",0.0788145,0.012993,6.0659,1.44e-09,0.10806798758212,"count",1.82592e-05,TRUE,FALSE
"21366","ENSG00000075624","ACTB","Gene Expression","OK","shape_score",-0.0990792,0.0016191,-61.1929,0,-0.142919877980394,"count",0,TRUE,TRUE
"21386","ENSG00000106305","AIMP2","Gene Expression","OK","shape_score",-0.1301771,0.0083725,-15.5481,6.48e-53,-0.184780287254031,"count",9.184752e-49,TRUE,TRUE
"21542","ENSG00000105855","ITGB8","Gene Expression","OK","shape_score",0.072789,0.0109291,6.6601,3.12e-11,0.100909026584055,"count",4.027296e-07,TRUE,FALSE
"21562","ENSG00000105889","STEAP1B","Gene Expression","OK","shape_score",-0.0820787,0.0120879,-6.7901,1.29e-11,-0.114383215753278,"count",1.669389e-07,TRUE,TRUE
"21650","ENSG00000122566","HNRNPA2B1","Gene Expression","OK","shape_score",-0.0795654,0.0031178,-25.5199,7.61e-133,-0.114626454099364,"count",1.1017758e-128,TRUE,TRUE
"21778","ENSG00000122545","SEPT7","Gene Expression","OK","shape_score",-0.1008943,0.0046014,-21.9267,1.64e-100,-0.144889755513969,"count",2.365044e-96,TRUE,TRUE
"21806","ENSG00000241127","YAE1D1","Gene Expression","OK","shape_score",-0.0727717,0.0140245,-5.1889,2.22e-07,-0.100051662161615,"count",0.0027195,TRUE,TRUE
"21854","ENSG00000106588","PSMA2","Gene Expression","OK","shape_score",-0.0734335,0.0062054,-11.8338,9.22e-32,-0.104884287163402,"count",1.2801048e-27,TRUE,TRUE
"21862","ENSG00000164543","STK17A","Gene Expression","OK","shape_score",-0.0798546,0.0067821,-11.7743,1.82e-31,-0.11399424693251,"count",2.526342e-27,TRUE,TRUE
"21870","ENSG00000106605","BLVRA","Gene Expression","OK","shape_score",-0.1102273,0.0072996,-15.1004,4.28e-50,-0.157076773797037,"count",6.054916e-46,TRUE,TRUE
"21914","ENSG00000136271","DDX56","Gene Expression","OK","shape_score",-0.1083303,0.0077676,-13.9464,3.66e-43,-0.154034518857175,"count",5.149986e-39,TRUE,TRUE
"21958","ENSG00000136270","TBRG4","Gene Expression","OK","shape_score",-0.0754692,0.0080823,-9.3376,1.62e-20,-0.107121785756952,"count",2.197692e-16,TRUE,TRUE
"22034","ENSG00000146731","CCT6A","Gene Expression","OK","shape_score",-0.084994,0.0040845,-20.8091,3.19e-91,-0.122170209354413,"count",4.591048e-87,TRUE,TRUE
"22090","ENSG00000169919","GUSB","Gene Expression","OK","shape_score",-0.0951276,0.0110019,-8.6465,7.68e-18,-0.133390507103838,"count",1.0338048e-13,TRUE,TRUE
"22194","ENSG00000071462","BUD23","Gene Expression","OK","shape_score",-0.0825374,0.005892,-14.0085,1.6e-43,-0.118084190486496,"count",2.252e-39,TRUE,TRUE
"22230","ENSG00000049541","RFC2","Gene Expression","OK","shape_score",-0.0733126,0.0089829,-8.1614,4.44e-16,-0.103017816724338,"count",5.93406e-12,TRUE,TRUE
"22278","ENSG00000127948","POR","Gene Expression","OK","shape_score",-0.0925428,0.0120805,-7.6605,2.33e-14,-0.128818453983888,"count",3.079794e-10,TRUE,TRUE
"22290","ENSG00000146701","MDH2","Gene Expression","OK","shape_score",-0.0740356,0.0032839,-22.5451,8.15e-106,-0.10653189238886,"count",1.176371e-101,TRUE,TRUE
"22358","ENSG00000153956","CACNA2D1","Gene Expression","OK","shape_score",0.0761764,0.0107301,7.0993,1.49e-12,0.106107347453731,"count",1.942662e-08,TRUE,FALSE
"22410","ENSG00000075142","SRI","Gene Expression","OK","shape_score",-0.0966016,0.0033943,-28.4596,7.61e-162,-0.13899855396381,"count",1.1048959e-157,TRUE,TRUE
"22414","ENSG00000164647","STEAP1","Gene Expression","OK","shape_score",-0.1121168,0.0120434,-9.3094,2.1e-20,-0.156412079845985,"count",2.84739e-16,TRUE,TRUE
"22502","ENSG00000105825","TFPI2","Gene Expression","OK","shape_score",-0.1155658,0.0096926,-11.9231,3.29e-32,-0.163588985826921,"count",4.572442e-28,TRUE,TRUE
"22526","ENSG00000127990","SGCE","Gene Expression","OK","shape_score",-0.0872915,0.0092129,-9.4749,4.52e-21,-0.123324810404782,"count",6.141324e-17,TRUE,TRUE
"22558","ENSG00000070669","ASNS","Gene Expression","OK","shape_score",-0.1071181,0.0214802,-4.9868,6.41e-07,-0.141060525703136,"count",0.007775971,TRUE,FALSE
"22674","ENSG00000168090","COPS6","Gene Expression","OK","shape_score",-0.1092558,0.0036803,-29.687,1.45e-174,-0.157166422265684,"count",2.10656e-170,TRUE,TRUE
"22678","ENSG00000166508","MCM7","Gene Expression","OK","shape_score",-0.0974909,0.0085941,-11.3439,2.32e-29,-0.138100701143234,"count",3.207864e-25,TRUE,TRUE
"22726","ENSG00000121716","PILRB","Gene Expression","OK","shape_score",0.0793449,0.0143931,5.5127,3.77e-08,0.107211946623273,"count",0.0004692519,TRUE,FALSE
"22890","ENSG00000161036","LRWD1","Gene Expression","OK","shape_score",-0.1001494,0.013948,-7.1802,8.32e-13,-0.137959901951353,"count",1.087008e-08,TRUE,FALSE
"22950","ENSG00000161057","PSMC2","Gene Expression","OK","shape_score",-0.1323274,0.0063966,-20.687,3.13e-90,-0.189112334418067,"count",4.503444e-86,TRUE,TRUE
"23002","ENSG00000008282","SYPL1","Gene Expression","OK","shape_score",-0.074023,0.0061258,-12.0839,5.06e-33,-0.105804460430735,"count",7.045038e-29,TRUE,TRUE
